Date,Start Time,End Time,Break Time,State
2024-09-02,09:15,17:15,1200.0,default
2024-09-03,08:50,16:50,,default
2024-09-04,09:00,17:10,1500.0,default
2024-09-05,09:20,17:05,1800.0,default
2024-09-06,09:30,17:00,,default
2024-09-09,09:10,17:20,1200.0,default
2024-09-10,08:45,16:55,,default
2024-09-11,09:25,17:15,1800.0,default
2024-09-12,09:05,17:30,1500.0,default
2024-09-13,09:15,16:45,,default
2024-09-16,09:00,17:05,1200.0,default
2024-09-17,08:55,17:20,1800.0,default
2024-09-18,09:10,16:55,,default
2024-09-19,09:25,17:30,1500.0,default
2024-09-20,09:00,17:00,1800.0,default
2024-09-23,09:10,17:15,1200.0,default
2024-09-24,09:00,16:50,,default
2024-09-25,09:15,17:00,1500.0,default
2024-09-26,09:20,17:10,1800.0,default
2024-09-27,09:05,17:05,,default
2024-09-30,09:00,17:10,1200.0,default
2024-10-01,09:25,17:30,1800.0,default
2024-10-02,08:55,16:55,,default
2024-10-03,09:00,17:05,1500.0,default
2024-10-04,08:45,17:00,1800.0,default
2024-10-07,09:10,16:50,1200.0,default
2024-10-08,09:05,17:10,1800.0,default
2024-10-09,08:50,16:55,,default
2024-10-10,09:15,17:15,1500.0,default
2024-10-11,08:50,17:05,1800.0,default
2024-10-14,09:00,17:25,1800.0,default
2024-10-15,09:20,17:00,1200.0,default
2024-10-16,09:15,17:10,1500.0,default
2024-10-17,08:55,16:55,,default
2024-10-18,09:05,17:15,1800.0,default
2024-10-21,09:10,17:05,1200.0,default
2024-10-22,09:20,16:45,,default
2024-10-23,09:05,17:25,1500.0,default
2024-10-24,09:15,17:20,1800.0,default
2024-10-25,08:50,16:50,,default
2024-10-28,09:05,17:00,1200,default
2024-10-29,09:10,17:15,1800,default
2024-10-30,08:55,16:55,,default
2024-10-31,09:20,17:30,1500,default
2024-11-01,08:50,17:10,1800,default
2024-11-04,09:15,17:05,1200,default
2024-11-05,09:00,16:45,,default
2024-11-06,08:55,17:10,1500,default
2024-11-07,09:10,17:05,1800,default
2024-11-08,08:45,16:55,,default
2024-11-11,09:00,17:15,1200,default
2024-11-12,17:25,17:25,,default
