Date,Start Time,End Time,Break Time,State
2024-09-02,09:00,17:40,1860.0,default
2024-09-03,08:45,18:06,2760.0,default
2024-09-04,09:30,18:59,2940.0,default
2024-09-05,09:00,17:56,3324.0,default
2024-09-06,08:50,17:59,3180.0,default
2024-09-09,09:15,18:39,2640.0,default
2024-09-10,08:55,18:02,3542.0,default
2024-09-11,09:10,18:22,2940.0,default
2024-09-12,08:40,17:38,2580.0,default
2024-09-13,09:05,18:02,2947.0,default
2024-09-16,09:00,18:23,2940.0,default
2024-09-17,08:50,18:09,3300.0,default
2024-09-18,09:15,18:10,2392.0,default
2024-09-19,09:10,18:11,3540.0,default
2024-09-20,08:45,17:51,3300.0,default
2024-09-23,09:00,18:42,3480.0,default
2024-09-24,08:50,17:53,2160.0,default
2024-09-25,09:30,18:44,2640.0,default
2024-09-26,09:00,17:53,2348.0,default
2024-09-27,08:55,17:48,2160.0,default
2024-09-30,09:10,18:10,2940.0,default
2024-10-01,08:45,18:24,3101.0,default
2024-10-02,09:20,18:12,2460.0,default
2024-10-03,08:40,18:12,3060.0,default
2024-10-04,09:00,18:01,2737.0,default
2024-10-07,09:10,17:44,1980.0,default
2024-10-08,08:55,18:10,2580.0,default
2024-10-09,09:05,18:12,2886.0,default
2024-10-10,09:15,18:07,1980.0,default
2024-10-11,08:50,17:51,1980.0,default
2024-10-14,09:00,18:26,2100.0,default
2024-10-15,08:45,17:34,1980.0,default
2024-10-16,09:10,18:52,3240.0,default
2024-10-17,09:05,17:48,2212.0,default
2024-10-18,08:55,17:56,3420.0,default
2024-10-21,09:00,18:13,3540.0,default
2024-10-22,08:40,18:24,3558.0,default
2024-10-23,09:15,18:13,2640.0,default
2024-10-24,09:05,18:25,2400.0,default
2024-10-25,09:00,18:35,2292.0,default
2024-10-28,09:20,18:36,2520.0,default
2024-10-29,08:50,18:12,3300.0,default
2024-10-30,09:10,17:51,1895.0,default
2024-10-31,09:05,17:57,2580.0,default
2024-11-01,08:45,17:58,2820.0,default
2024-11-04,09:15,18:50,3180.0,default
2024-11-05,08:55,17:59,2435.0,default
2024-11-06,09:10,18:27,3300.0,default
2024-11-07,08:50,18:06,2580.0,default
2024-11-08,09:05,18:49,3546.0,default
2024-11-11,09:00,18:03,3240.0,default
